date	close	volume	open	high	low
2/24/2010	3.76	2203159	3.63	3.87	3.56
2/23/2010	3.62	1708231	3.45	3.63	3.35
2/22/2010	3.37	1024712	3.42	3.45	3.34
2/19/2010	3.42	904517	3.55	3.55	3.37
2/18/2010	3.52	1074160	3.44	3.52	3.35
2/17/2010	3.45	3517367	3.2	3.55	3.18
2/16/2010	3.05	615530	3.05	3.05	3
2/12/2010	3.02	811969	3.05	3.08	2.9719
2/11/2010	3.09	814363	3	3.09	2.94
2/10/2010	3.02	840969	3.01	3.11	2.96
2/9/2010	3.1	1735026	2.96	3.1	2.92
2/8/2010	2.94	1713933	3.02	3.03	2.86
2/5/2010	3	2136566	3.12	3.14	2.89
2/4/2010	3.07	1632473	3.2	3.29	3.06
2/3/2010	3.26	1137924	3.37	3.45	3.26
2/2/2010	3.4	1346824	3.3	3.43	3.23
2/1/2010	3.28	1184859	3.37	3.45	3.25
1/29/2010	3.35	1776176	3.44	3.521	3.29
1/28/2010	3.42	1871879	3.66	3.69	3.42
1/27/2010	3.63	2235918	3.64	3.7	3.44
1/26/2010	3.65	3744738	4.06	4.08	3.65
1/25/2010	4.09	3546276	4.56	4.6	4.0401
1/22/2010	4.34	3361621	4.37	4.64	4.28
1/21/2010	4.34	7422387	4.66	4.94	4.3
1/20/2010	4.23	1399301	4.32	4.34	4.13
1/19/2010	4.34	3274114	4.04	4.38	4.02
1/15/2010	3.98	1590298	4.24	4.29	3.93
1/14/2010	4.22	1510015	4.28	4.34	4.12
1/13/2010	4.2	2473386	4.14	4.41	4.01
1/12/2010	4.14	3210918	3.89	4.42	3.83
1/11/2010	3.91	3843088	4.29	4.31	3.82
1/8/2010	4.05	18744460	3.3	4.74	3.26
1/7/2010	3.27	711990	3.25	3.36	3.2
1/6/2010	3.21	714762	3.3	3.38	3.2
1/5/2010	3.29	592539	3.43	3.45	3.29
1/4/2010	3.42	755981	3.21	3.42	3.2
12/31/2009	3.21	351228	3.24	3.26	3.18
12/30/2009	3.24	361030	3.21	3.25	3.17
12/29/2009	3.24	362488	3.18	3.27	3.17
12/28/2009	3.18	343539	3.2	3.25	3.16
12/24/2009	3.2	157992	3.19	3.26	3.19
12/23/2009	3.19	902970	3.44	3.46	3.16
12/22/2009	3.42	673106	3.3	3.42	3.19
12/21/2009	3.29	763957	3.14	3.29	3.12
12/18/2009	3.11	883032	3.14	3.2	3.08
12/17/2009	3.1	489637	3.15	3.17	3.1
12/16/2009	3.18	490103	3.18	3.26	3.13
12/15/2009	3.16	516232	3.28	3.2999	3.15
12/14/2009	3.27	613032	3.21	3.27	3.1
12/11/2009	3.17	335214	3.28	3.28	3.15
12/10/2009	3.2	598648	3.23	3.58	3.16
12/9/2009	3.23	447778	3.31	3.32	3.18
12/8/2009	3.32	611837	3.45	3.49	3.3
12/7/2009	3.52	581808	3.42	3.54	3.42
12/4/2009	3.41	676289	3.48	3.55	3.305
12/3/2009	3.41	855538	3.53	3.53	3.38
12/2/2009	3.41	741183	3.33	3.45	3.33
12/1/2009	3.31	3127946	3.2	3.388	3.08
11/30/2009	3.1	2194379	3.39	3.4	3.05
11/27/2009	3.4	412436	3.37	3.5	3.3
11/25/2009	3.51	462201	3.42	3.53	3.4
11/24/2009	3.43	426158	3.52	3.55	3.41
11/23/2009	3.53	768352	3.6	3.74	3.47
11/20/2009	3.55	879647	3.42	3.62	3.4022
11/19/2009	3.45	563236	3.44	3.48	3.4
11/18/2009	3.49	699768	3.49	3.54	3.4
11/17/2009	3.51	398163	3.6	3.62	3.48
11/16/2009	3.62	552590	3.35	3.62	3.35
11/13/2009	3.45	564979	3.55	3.55	3.43
11/12/2009	3.48	656544	3.57	3.71	3.46
11/11/2009	3.57	607830	3.52	3.58	3.43
11/10/2009	3.5	609845	3.58	3.62	3.44
11/9/2009	3.61	640266	3.65	3.7	3.52
11/6/2009	3.61	854637	3.62	3.72	3.45
11/5/2009	3.62	771074	3.41	3.64	3.4
11/4/2009	3.4	657601	3.6	3.6	3.36
11/3/2009	3.58	729370	3.42	3.61	3.27
11/2/2009	3.46	1185843	3.86	3.86	3.325
10/30/2009	3.56	1767749	3.72	3.73	3.43
